biblionumber,frameworkcode,author,title,unititle,notes,serial,seriestitle,copyrightdate,timestamp,datecreated,abstract
3,CIT,"المشرف، مغوري مختار","أسس تصميم المقررات الإلكترونية بالمرحلة الثانوية",NULL,NULL,NULL,"مجلة جامعة الجزيرة",2012,"2018-12-07 09:36:00",2017-09-24,NULL
4,CIT,"حسني، مهدي سعيد محمود","اتجاهات الدارسين بالفتح نحو توظيف تكنولوجيا التعليم في برامج التعليم المفتوح",NULL,NULL,NULL,"مجلة كلية التربية بجامعة الخرطوم",2011,"2018-12-07 09:36:00",2017-09-24,NULL
5,CIT,"حسن، عماد اسماعيل","دور الجمعيات الأهلية في ظل سياسة الإصلاح الاقتصادي",NULL,NULL,NULL,"مجلة مستشفيات مركز البحوث والدراسات بالجامعة المحالية",1999,"2018-12-07 09:36:00",2017-09-24,NULL
6,CIT,"رودت ربيع عبدالعظيم","جودة التعليم الإلكتروني",NULL,NULL,NULL,"مجلة التعليم الإلكتروني بجامعة المنصورة",2012,"2017-10-03 18:01:00",2017-09-24,NULL
7,CIT,"احمد مازن عبد الهادي","استخدام اللعب كوسيلة لمعالجة بعض أنواع صعوبات التعلم لدى الأطفال بعمر 9 سنوات",NULL,NULL,NULL,"مجلة علوم التربية الرياضية",2006,"2017-10-05 14:20:00",2017-09-24,NULL
8,CIT,"المشرف، مغوري مختار","أسس تصميم المقررات الإلكترونية بالمرحلة الثانوية",NULL,NULL,NULL,"مجلة جامعة الجزيرة",2012,"2018-12-07 09:36:00",2017-09-24,NULL
9,CIT,"حسني، مهدي سعيد محمود","اتجاهات الدارسين بالفتح نحو توظيف تكنولوجيا التعليم في برامج التعليم المفتوح",NULL,NULL,NULL,"مجلة كلية التربية بجامعة الخرطوم",2011,"2018-12-07 09:36:00",2017-09-24,NULL
10,CIT,"حسن، عماد اسماعيل","دور الجمعيات الأهلية في ظل سياسة الإصلاح الاقتصادي",NULL,NULL,NULL,"مجلة مستشفيات مركز البحوث والدراسات بالجامعة المحالية",1999,"2018-12-07 09:36:00",2017-09-24,NULL
11,CIT,"رودت ربيع عبدالعظيم","جودة التعليم الإلكتروني",NULL,NULL,NULL,"مجلة التعليم الإلكتروني بجامعة المنصورة",2012,"2017-10-03 18:01:00",2017-09-24,NULL
12,CIT,"احمد مازن عبد الهادي","استخدام اللعب كوسيلة لمعالجة بعض أنواع صعوبات التعلم لدى الأطفال بعمر 9 سنوات",NULL,NULL,NULL,"مجلة علوم التربية الرياضية",2006,"2017-10-05 14:20:00",2017-09-24,NULL
