biblio,245,242
6458666,Putting the self-back in the child: An African perspective,
6458719,The role of self-understanding in resilient individuals: the development of a perspective,
6459039,Drug Abuse Prevention Among Minority Adolescents: Posttest and One-Year Follow-Up of A School-Based Preventive Intervention,
6459081,Prevention of Alcohol Misuse Through the Development of Personal and Social Competence: A Pilot Study,
6459124,Preventing the Onset of Cigarette Smoking Through Life Skills Training,
6459158,Social Competence Promotion with Inner-City and Suburban Young Adolescents: Effects on Social Adjustment and Alcohol Use,
6459330,How Coping Mediates the Effect of Optimism on Distress: A Study of Women with Early Stage Breast Cancer,
6459360,Optimism/ Pessimism and Information processing Styles: Can Their in Uences Be Distinguished in Predicting Psychological Adjustment?,
6459380,Suicidal Thoughts Among Adolescents: An Intercultural Approach,
6459405,Personality and Self-Efficacy as Predictors of Coping with Abortion,
6459423,Development and Initial Validation of The Life Skills Scale for Sport,
6459456,"The Relationship Between Optimism-Pessimism, Loneliness, and Level of Self-Esteem in College Students",
6459479,The “what” and “why” of Goal Pursuits: Human Needs and The Self-Determination of Behavior,
6459519,The Measurement of Optimism and Pessimism,
6459562,"Concept of Self, Mediating Factors and Adolescent Deviance",
6459751,The Promotion of Social Competence: Longitudinal Study of A Preventive School-Based Program,
6459803,"Early and Periodic Screening, Diagnosis, and Treatment Program (EPSDT): A model for improving adolescents' access to health care",
6459834,How Effective Is Drug Abuse Resistance Education? a Meta-Analysis of Project Dare Outcome Evaluations,
6459872,Effectiveness of Teenage Health Teaching Modules,
6459919,Psychiatric Morbidity and Social Functioning Among Adults with Borderline Intelligence Living in Private Households,
6459942,Developing a Conceptual Framework for Life Skills Interventions,
6459972,Mental and Physical Health of Spouse Caregivers: The Role of Personality,
6460002,Evaluation of A Conflict- Resolution and Problemsolving Programme to Enhance Adolescents' Self-Concept,
6460018,Stop Sniffing in The States: Approaches to Solvent Misuse Prevention in USA,
6460059,Prevalence and Treatment of Mental Disorders in Lebanon: A National Epidemiological Survey,
6460069,Psychosocial Factors Associated with Teenage Pregnancy in Jamaica,
6460096,Drug and Alcohol Prevention Project for Sixth Graders: First Year Findings,
6460118,"Health Status, Perceptions of Risk, and Prevention Interest for Health and Non-Health Problems",
6460141,The Social Ecological Model of Adolescence Substance Abuse: Implications for Prevention,
6460159,Some Aspects of Group Dynamics,
6460198,Dispositional Optimism/pessimism and Coping Strategies: Predictors of Psychosocial Adjustment of Rheumatoid and Osteoarthritis Patients,
6460218,"The Effects of Minor Events, Optimism and Self-Esteem on Health",
6460248,DIstinguishing Optimism from Pessimism: Relations to Fundamental Dimensions of Mood and Personality,
6460274,Adolescents with Borderline Intellectual Functioning: Psychopathological Risk,
6460666,Art Therapy and The Iv-E Grant in New Jersey,
6460692,Peer Victimization and Its Relationship to Self-Esteem in Children with Mild Intellectual Disability and Borderline Intellectual Functioning in Regular and Special Schools: An Exploratory Study in Urban Bengaluru,
6460751,Group Counselling Intervention for Problem Solving Problems on The Job,
6460791,"Factors Associated with Alcohol Use Disorder: The Role of Depression, Anxiety, Stress, Alexithymia and Work Fatigue-A Population Study in Lebanon",
6460872,A National Campaign in Norway to Reduce the Prevalence of Bullying Behavior,
6460898,Test Correlates of Stress Resilience Among Urban School Children,
6460936,Models for Effective Prevention,
6460953,The Effects of Attitudes on Teenage Premarital Pregnancy and Its Resolution,
6461039,Kids Care: Building Resilience in Children's Environments,
6461062,The Darker and Brighter Sides of Human Existence: Basic Psychological Needs as A Unifying Concept,
6461092,"Optimism, Coping, and Health: Assessment and Implications of Generalized Outcome Expectancies",
6461132,"Distinguishing optimism from neuroticism (and trait anxiety, self-mastery and self-esteem): A revaluation of Life Orientation Test",
6461146,Some Factors Associated with Substance Abuse Among Secondary School Students in Trinidad and Tobago,
6461163,Hope: A Comparison of Two Self-Report Measures for Adults,
6461181,Relationship Between Optimism and Coping Strategies in The Work Environment,
6461217,The Case for Cultural Competency in Psychotherapeutic Interventions,
6461516,Effectiveness of Group Counselling in Enhancing Life Skills of Marginally Intelligent Students,
6461550,Practical Partnerships: Analysis and Results of A Cooperative Life Skills Program for At-Risk Rural Youth,
6461574,Unrealistic optimism about future life events,
6461633,Adolescent Preventive Health: A Social and Life Group Skills Paradigm,
6461688,Evaluation of a pregnancy prevention program for urban teenagers,
6461718,"Media, Technology Use, and Attitudes: Associations With Physical and Mental Well-Being in Youth With Implications for Evidence-Based Practice",
6461735,Whatever happened to those with borderline IQs?,
6461830,Visual Evoked Potentials Modulation During Direct Current Cortical Polarization,
6461850,Practice Effects on Reaction Time for Peripheral and Central Visual Fields,
6461909,Excitability Changes Induced in The Human Primary Visual Cortex by Transcranial Direct Current Stimulation: Direct Electrophysiological Evidence,
6461941,Direct Current Stimulation Over V5 Enhances Visuomotor Coordination by Improving Motion Perception in Humans,
6461981,External Modulation of Visual Perception in Humans,
6462003,"Perception and Discrimination as A Function of Stimulus Orientation: The"" Oblique Effect"" in Man and Animals",
6462038,Partially Non‐linear Stimulation Intensity‐dependent Effects of Direct Current Stimulation on Motor Cortex Excitability in Humans,
6462056,Efficacy of Non-Invasive Brain Stimulation on Cognitive Functioning in Brain Disorders: A Meta-Analysis,
